row,r,g,b,name,hex
1,0,0,0,black,#000000
2,192,192,192,"silver",#C0C0C0
3,128,128,128,"gray",#808080
4,255,255,255,white,#FFFFFF
5,128,0,0,"maroon",#800000
6,255,0,0,red,#FF0000
7,128,0,128,purple,#800080
8,255,0,255,fuchsia,#FF00FF
9,0,128,0,green,#008000
10,0,255,0,"lime",#00FF00
11,128,128,0,"olive",#808000
12,255,255,0,yellow,#FFFF00
13,0,0,128,"navy",#000080
14,0,0,255,blue,#0000FF
15,0,128,128,teal,#008080
16,0,255,255,"aqua",#00FFFF
17,240,248,255,aliceblue,#f0f8ff
18,250,235,215,"antiquewhite",#faebd7
19,0,255,255,"aqua",#00ffff
20,127,255,212,"aquamarine",#7fffd4
21,240,255,255,azure,#f0ffff
22,245,245,220,beige,#f5f5dc
23,255,228,196,"bisque",#ffe4c4
24,0,0,0,"black",#000000
25,255,235,205,blanchedalmond,#ffebcd
26,0,0,255,"blue",#0000ff
27,138,43,226,"blueviolet",#8a2be2
28,165,42,42,"brown",#a52a2a
29,222,184,135,burlywood,#deb887
30,95,158,160,"cadetblue",#5f9ea0
31,127,255,0,chartreuse,#7fff00
32,210,105,30,chocolate,#d2691e
33,255,127,80,coral,#ff7f50
34,100,149,237,"cornflowerblue",#6495ed
35,255,248,220,"cornsilk",#fff8dc
36,220,20,60,crimson,#dc143c
37,0,255,255,"cyan",#00ffff
38,0,0,139,"darkblue",#00008b
39,0,139,139,"darkcyan",#008b8b
40,184,134,11,"darkgoldenrod",#b8860b
41,169,169,169,darkgray,#a9a9a9
42,0,100,0,"darkgreen",#006400
43,169,169,169,"darkgrey",#a9a9a9
44,189,183,107,darkkhaki,#bdb76b
45,139,0,139,darkmagenta,#8b008b
46,85,107,47,"darkolivegreen",#556b2f
47,255,140,0,"darkorange",#ff8c00
48,153,50,204,"darkorchid",#9932cc
49,139,0,0,darkred,#8b0000
50,233,150,122,"darksalmon",#e9967a
51,143,188,143,"darkseagreen",#8fbc8f
52,72,61,139,"darkslateblue",#483d8b
53,47,79,79,darkslategray,#2f4f4f
54,47,79,79,darkslategrey,#2f4f4f
55,0,206,209,"darkturquoise",#00ced1
56,148,0,211,darkviolet,#9400d3
57,255,20,147,deeppink,#ff1493
58,0,191,255,"deepskyblue",#00bfff
59,105,105,105,"dimgray",#696969
60,105,105,105,dimgrey,#696969
61,30,144,255,dodgerblue,#1e90ff
62,178,34,34,firebrick,#b22222
63,255,250,240,floralwhite,#fffaf0
64,34,139,34,"forestgreen",#228b22
65,255,0,255,fuchsia,#ff00ff
66,220,220,220,"gainsboro",#dcdcdc
67,248,248,255,"ghostwhite",#f8f8ff
68,255,215,0,gold,#ffd700
69,218,165,32,"goldenrod",#daa520
70,128,128,128,"gray",#808080
71,0,128,0,green,#008000
72,173,255,47,"greenyellow",#adff2f
73,128,128,128,grey,#808080
74,240,255,240,honeydew,#f0fff0
75,255,105,180,hotpink,#ff69b4
76,205,92,92,indianred,#cd5c5c
77,75,0,130,indigo,#4b0082
78,255,255,240,ivory,#fffff0
79,240,230,140,khaki,#f0e68c
80,230,230,250,lavender,#e6e6fa
81,255,240,245,lavenderblush,#fff0f5
82,124,252,0,lawngreen,#7cfc00
83,255,250,205,lemonchiffon,#fffacd
84,173,216,230,lightblue,#add8e6
85,240,128,128,lightcoral,#f08080
86,224,255,255,lightcyan,#e0ffff
87,250,250,210,lightgoldenrodyellow,#fafad2
88,211,211,211,lightgray,#d3d3d3
89,144,238,144,lightgreen,#90ee90
90,211,211,211,lightgrey,#d3d3d3
91,255,182,193,lightpink,#ffb6c1
92,255,160,122,lightsalmon,#ffa07a
93,32,178,170,lightseagreen,#20b2aa
94,135,206,250,lightskyblue,#87cefa
95,119,136,153,lightslategray,#778899
96,119,136,153,lightslategrey,#778899
97,176,196,222,lightsteelblue,#b0c4de
98,255,255,224,lightyellow,#ffffe0
99,0,255,0,lime,#00ff00
100,50,205,50,limegreen,#32cd32
101,250,240,230,linen,#faf0e6
102,255,0,255,magenta,#ff00ff
103,128,0,0,maroon,#800000
104,102,205,170,mediumaquamarine,#66cdaa
105,0,0,205,mediumblue,#0000cd
106,186,85,211,mediumorchid,#ba55d3
107,147,112,219,mediumpurple,#9370db
108,60,179,113,mediumseagreen,#3cb371
109,123,104,238,mediumslateblue,#7b68ee
110,0,250,154,mediumspringgreen,#00fa9a
111,72,209,204,mediumturquoise,#48d1cc
112,199,21,133,mediumvioletred,#c71585
113,25,25,112,midnightblue,#191970
114,245,255,250,mintcream,#f5fffa
115,255,228,225,mistyrose,#ffe4e1
116,255,228,181,moccasin,#ffe4b5
117,255,222,173,navajowhite,#ffdead
118,0,0,128,navy,#000080
119,253,245,230,oldlace,#fdf5e6
120,128,128,0,olive,#808000
121,107,142,35,olivedrab,#6b8e23
122,255,165,0,orange,#ffa500
123,255,69,0,orangered,#ff4500
124,218,112,214,orchid,#da70d6
125,238,232,170,palegoldenrod,#eee8aa
126,152,251,152,palegreen,#98fb98
127,175,238,238,paleturquoise,#afeeee
128,219,112,147,palevioletred,#db7093
129,255,239,213,papayawhip,#ffefd5
130,255,218,185,peachpuff,#ffdab9
131,205,133,63,peru,#cd853f
132,255,192,203,pink,#ffc0cb
133,221,160,221,plum,#dda0dd
134,176,224,230,powderblue,#b0e0e6
135,128,0,128,purple,#800080
136,255,0,0,red,#ff0000
137,188,143,143,rosybrown,#bc8f8f
138,65,105,225,royalblue,#4169e1
139,139,69,19,saddlebrown,#8b4513
140,250,128,114,salmon,#fa8072
141,244,164,96,sandybrown,#f4a460
142,46,139,87,seagreen,#2e8b57
143,255,245,238,seashell,#fff5ee
144,160,82,45,sienna,#a0522d
145,192,192,192,silver,#c0c0c0
146,135,206,235,skyblue,#87ceeb
147,106,90,205,slateblue,#6a5acd
148,112,128,144,slategray,#708090
149,112,128,144,slategrey,#708090
150,255,250,250,snow,#fffafa
151,0,255,127,springgreen,#00ff7f
152,70,130,180,steelblue,#4682b4
153,210,180,140,tan,#d2b48c
154,0,128,128,teal,#008080
155,216,191,216,thistle,#d8bfd8
156,255,99,71,tomato,#ff6347
157,64,224,208,turquoise,#40e0d0
158,238,130,238,violet,#ee82ee
159,245,222,179,wheat,#f5deb3
160,255,255,255,white,#ffffff
161,245,245,245,whitesmoke,#f5f5f5
162,255,255,0,yellow,#ffff00
163,154,205,50,yellowgreen,#9acd32
